runs	algo	iter	totaltime	err	relerr
5	HALS	19	22.96	963.936	0.999205
5	HALS	20	24.11	963.935	0.999204
5	HALS	21	25.26	963.935	0.999204
5	HALS	22	26.47	963.934	0.999203
5	HALS	23	27.61	963.933	0.999202
5	HALS	24	28.76	963.932	0.999201
5	HALS	25	29.9	963.932	0.999201
5	HALS	26	31.05	963.932	0.999201
5	HALS	27	32.2	963.932	0.999201
5	HALS	28	33.33	963.932	0.999201
5	HALS	29	34.47	963.932	0.999201
5	BPP	1	3.28	964.135	0.999412
5	BPP	2	4.92	963.97	0.99924
5	BPP	3	6.57	963.956	0.999225
5	BPP	4	8.21	963.95	0.99922
5	BPP	5	9.85	963.947	0.999217
5	BPP	6	11.49	963.945	0.999214
5	BPP	7	13.14	963.943	0.999212
5	BPP	8	14.78	963.94	0.99921
5	BPP	9	16.47	963.939	0.999208
5	BPP	10	18.12	963.937	0.999206
5	BPP	11	19.77	963.935	0.999204
5	BPP	12	21.41	963.934	0.999203
5	BPP	13	23.05	963.933	0.999202
5	BPP	14	24.7	963.933	0.999201
5	BPP	15	26.34	963.932	0.999201
5	BPP	16	27.99	963.931	0.999199
5	BPP	17	29.64	963.929	0.999197
5	BPP	18	31.29	963.927	0.999196
5	BPP	19	32.93	963.926	0.999194
5	BPP	20	34.58	963.925	0.999194
5	BPP	21	36.26	963.925	0.999194
5	BPP	22	37.9	963.925	0.999194
5	BPP	23	39.53	963.925	0.999193
5	BPP	24	41.18	963.925	0.999193
5	BPP	25	42.83	963.925	0.999193
5	BPP	26	44.47	963.925	0.999193
5	BPP	27	46.11	963.925	0.999193
5	BPP	28	47.76	963.925	0.999193
5	BPP	29	49.4	963.925	0.999193
