iter	k	algo	totaltime	relerr
4	48	5	3.09934	0.0915495
5	48	5	3.64041	0.0910151
6	48	5	4.16993	0.0906911
7	48	5	4.85608	0.0904743
8	48	5	5.53673	0.0903174
9	48	5	6.28278	0.0901968
10	48	5	7.03597	0.0900995
11	48	5	7.79928	0.090018
12	48	5	8.4623	0.0899476
13	48	5	9.11997	0.0898856
14	48	5	9.79519	0.0898307
15	48	5	10.4681	0.0897819
16	48	5	11.225	0.0897383
17	48	5	11.9596	0.0896993
18	48	5	12.6992	0.0896642
19	48	5	13.4133	0.0896324
20	48	5	14.0819	0.0896036
21	48	5	14.7477	0.0895774
22	48	5	15.4016	0.0895537
23	48	5	16.1091	0.0895322
24	48	5	16.8399	0.0895127
25	48	5	17.5475	0.089495
26	48	5	18.226	0.089479
27	48	5	18.9139	0.0894643
28	48	5	19.6048	0.0894509
29	48	5	20.2635	0.0894386
0	48	6	0.360028	0.307626
1	48	6	0.635634	0.29102
2	48	6	0.909232	0.283182
3	48	6	1.17544	0.280988
4	48	6	1.45554	0.279194
5	48	6	1.73029	0.278379
6	48	6	2.00637	0.278623
7	48	6	2.27825	0.280457
8	48	6	2.54945	0.278448
9	48	6	2.82579	0.277321
10	48	6	3.09108	0.277033
11	48	6	3.35962	0.276566
12	48	6	3.62754	0.276091
13	48	6	3.89644	0.275808
14	48	6	4.16188	0.275673
15	48	6	4.43166	0.275548
16	48	6	4.70484	0.275453
17	48	6	4.97005	0.275362
18	48	6	5.24608	0.275355
19	48	6	5.51393	0.275351
20	48	6	5.77978	0.275348
21	48	6	6.04675	0.275346
22	48	6	6.31931	0.275344
23	48	6	6.58721	0.275342
24	48	6	6.86234	0.275341
25	48	6	7.13062	0.27534
26	48	6	7.39883	0.275339
27	48	6	7.67031	0.275339
28	48	6	7.94242	0.275338
29	48	6	8.21698	0.275338
0	64	0	0.356543	0.230049
1	64	0	0.63626	0.226763
2	64	0	0.915289	0.224795
3	64	0	1.19535	0.223042
4	64	0	1.47586	0.221466
5	64	0	1.75481	0.220038
6	64	0	2.03844	0.218733
7	64	0	2.31554	0.217531
8	64	0	2.59526	0.216414
9	64	0	2.86947	0.215366
10	64	0	3.15155	0.214374
11	64	0	3.4266	0.213425
12	64	0	3.7274	0.212507
13	64	0	4.00143	0.211607
14	64	0	4.27653	0.210714
15	64	0	4.55038	0.209816
16	64	0	4.82811	0.208899
17	64	0	5.10833	0.20795
18	64	0	5.38358	0.206954
19	64	0	5.65788	0.205896
20	64	0	5.9406	0.204761
21	64	0	6.22106	0.203533
22	64	0	6.49686	0.202195
23	64	0	6.77441	0.200735
24	64	0	7.05227	0.199141
25	64	0	7.33846	0.197405
26	64	0	7.61937	0.195528
27	64	0	7.89418	0.193514
28	64	0	8.17047	0.191376
29	64	0	8.44728	0.189137
0	64	1	0.440985	0.338127
1	64	1	0.737057	0.328635
2	64	1	1.02175	0.326557
3	64	1	1.3396	0.325902
4	64	1	1.62988	0.325429
5	64	1	1.92907	0.325355
6	64	1	2.21676	0.325384
7	64	1	2.50533	0.325391
8	64	1	2.81972	0.325419
9	64	1	3.10459	0.325496
10	64	1	3.39054	0.325575
11	64	1	3.70043	0.325524
12	64	1	3.98545	0.325444
13	64	1	4.28405	0.325366
14	64	1	4.58297	0.325293
15	64	1	4.86966	0.325259
16	64	1	5.16535	0.325228
17	64	1	5.44906	0.325216
18	64	1	5.7401	0.325198
19	64	1	6.02672	0.32522
20	64	1	6.31407	0.325239
21	64	1	6.60226	0.325238
22	64	1	6.91208	0.325222
23	64	1	7.20071	0.325202
24	64	1	7.499	0.325163
25	64	1	7.78516	0.325142
26	64	1	8.06803	0.325149
27	64	1	8.35479	0.325156
28	64	1	8.66711	0.325157
29	64	1	8.9566	0.325134
0	64	2	0.368164	0.163054
1	64	2	0.656359	0.117276
2	64	2	0.938301	0.104315
3	64	2	1.22232	0.0993777
4	64	2	1.50334	0.0971975
5	64	2	1.78872	0.0960359
6	64	2	2.07245	0.0953016
7	64	2	2.35779	0.0947356
8	64	2	2.64069	0.0941829
9	64	2	2.92745	0.0935828
10	64	2	3.20627	0.0929597
