iter k algo time relerr
19 48 1 5.63759 0.324907
20 48 1 5.91368 0.32491
21 48 1 6.18745 0.324882
22 48 1 6.46378 0.324852
23 48 1 6.74087 0.324837
24 48 1 7.01499 0.324844
25 48 1 7.28865 0.324871
26 48 1 7.56357 0.324887
27 48 1 7.83959 0.324855
28 48 1 8.11277 0.324866
29 48 1 8.38359 0.324886
0 48 2 0.363631 0.173394
1 48 2 0.635259 0.124455
2 48 2 0.910221 0.110706
3 48 2 1.18687 0.106888
4 48 2 1.46376 0.104211
5 48 2 1.73656 0.10231
6 48 2 2.00838 0.101043
7 48 2 2.28633 0.100218
8 48 2 2.55881 0.0995728
9 48 2 2.82814 0.0990032
10 48 2 3.10341 0.0984887
11 48 2 3.3745 0.0980281
12 48 2 3.65434 0.0976377
13 48 2 3.9343 0.0973208
14 48 2 4.2092 0.097061
15 48 2 4.47876 0.0968456
16 48 2 4.75052 0.0966684
17 48 2 5.01669 0.0965279
18 48 2 5.28376 0.0964095
19 48 2 5.55746 0.0963042
20 48 2 5.83136 0.0962135
21 48 2 6.10101 0.0961383
22 48 2 6.37049 0.0960721
23 48 2 6.64182 0.0960102
24 48 2 6.90954 0.0959532
25 48 2 7.18043 0.0958976
26 48 2 7.45008 0.0958414
27 48 2 7.71759 0.0957852
28 48 2 7.9875 0.0957281
29 48 2 8.25739 0.0956673
0 48 4 0.366222 0.173711
1 48 4 0.652534 0.107636
2 48 4 0.9364 0.0986207
3 48 4 1.21677 0.0958185
4 48 4 1.50604 0.0947409
5 48 4 1.78864 0.0941854
6 48 4 2.07371 0.093854
7 48 4 2.35774 0.093633
8 48 4 2.64453 0.0934749
9 48 4 2.92596 0.0933559
10 48 4 3.20718 0.0932653
11 48 4 3.48829 0.0931927
12 48 4 3.77181 0.0931326
13 48 4 4.0514 0.0930817
14 48 4 4.33011 0.0930382
15 48 4 4.61186 0.0930008
16 48 4 4.89698 0.0929684
17 48 4 5.17964 0.0929401
18 48 4 5.45977 0.0929152
19 48 4 5.73892 0.0928934
20 48 4 6.01915 0.092874
21 48 4 6.3042 0.0928563
22 48 4 6.58467 0.0928402
23 48 4 6.86713 0.0928254
24 48 4 7.14841 0.0928117
25 48 4 7.43037 0.092799
26 48 4 7.71643 0.0927872
27 48 4 7.99655 0.0927761
28 48 4 8.28291 0.0927657
29 48 4 8.56677 0.0927557
0 48 5 0.378901 0.183639
1 48 5 0.672528 0.119844
2 48 5 0.969962 0.110779
3 48 5 1.26198 0.10798
4 48 5 1.55974 0.106596
5 48 5 1.85536 0.10576
6 48 5 2.15315 0.105223
7 48 5 2.45427 0.104352
8 48 5 2.91887 0.104443
9 48 5 3.37282 0.104482
10 48 5 3.8301 0.10451
11 48 5 4.27531 0.104535
12 48 5 4.71902 0.104559
13 48 5 5.16624 0.104584
14 48 5 5.60741 0.104607
15 48 5 6.06167 0.104629
16 48 5 6.50889 0.104649
17 48 5 6.95404 0.104667
18 48 5 7.40371 0.104684
19 48 5 7.85457 0.104698
20 48 5 8.3059 0.10471
21 48 5 8.74973 0.104721
22 48 5 9.18929 0.10473
23 48 5 9.63356 0.104738
24 48 5 10.0736 0.104744
25 48 5 10.5189 0.10475
26 48 5 10.9576 0.104754
27 48 5 11.2579 0.104759
28 48 5 11.7015 0.104764
29 48 5 12.1479 0.104766
0 48 6 0.351745 0.307626
1 48 6 0.628095 0.29102
2 48 6 0.901715 0.283182
3 48 6 1.1682 0.280988
4 48 6 1.43975 0.279194
5 48 6 1.70842 0.278379
6 48 6 1.98388 0.278623
7 48 6 2.25714 0.280457
8 48 6 2.52812 0.278448
9 48 6 2.79782 0.277321
10 48 6 3.06557 0.277033
11 48 6 3.33482 0.276566
12 48 6 3.60175 0.276091
13 48 6 3.86786 0.275808
14 48 6 4.14367 0.275673
15 48 6 4.40862 0.275548
16 48 6 4.67846 0.275453
17 48 6 4.94573 0.275362
18 48 6 5.21423 0.275355
19 48 6 5.48675 0.275351
20 48 6 5.7604 0.275348
21 48 6 6.02909 0.275346
22 48 6 6.2963 0.275344
23 48 6 6.56416 0.275342
24 48 6 6.82967 0.275341
25 48 6 7.09702 0.27534
26 48 6 7.36291 0.275339
27 48 6 7.63038 0.275339
28 48 6 7.8995 0.275338
29 48 6 8.16606 0.275338
0 64 0 0.36172 0.230049
1 64 0 0.638069 0.226763
2 64 0 0.913618 0.224795
3 64 0 1.18927 0.223042
4 64 0 1.46834 0.221466
5 64 0 1.74643 0.220038
6 64 0 2.02124 0.218733
7 64 0 2.29736 0.217531
8 64 0 2.57295 0.216414
9 64 0 2.85519 0.215366
10 64 0 3.13035 0.214374
