iter k algo time relerr 
13 32 6 4.36174 0.519372
14 32 6 4.66913 0.519326
15 32 6 4.97409 0.519171
16 32 6 5.2788 0.519084
17 32 6 5.58522 0.519037
18 32 6 5.88903 0.519003
19 32 6 6.19319 0.518974
20 32 6 6.49718 0.518951
21 32 6 6.80037 0.51893
22 32 6 7.10395 0.518906
23 32 6 7.40925 0.518878
24 32 6 7.71358 0.518847
25 32 6 8.01842 0.51882
26 32 6 8.32469 0.518794
27 32 6 8.62957 0.518767
28 32 6 8.93362 0.518735
29 32 6 9.23755 0.518706
0 48 0 0.468954 0.53991
1 48 0 0.89154 0.539015
2 48 0 1.31829 0.538241
3 48 0 1.73888 0.537562
4 48 0 2.15867 0.536961
5 48 0 2.57794 0.536427
6 48 0 2.99781 0.535947
7 48 0 3.4162 0.535514
8 48 0 3.83737 0.535122
9 48 0 4.26125 0.534764
10 48 0 4.68266 0.534436
11 48 0 5.10957 0.534134
12 48 0 5.53155 0.533856
13 48 0 5.95276 0.533597
14 48 0 6.37273 0.533356
15 48 0 6.79352 0.533132
16 48 0 7.20863 0.532921
17 48 0 7.62507 0.532724
18 48 0 8.0459 0.532538
19 48 0 8.46603 0.532362
20 48 0 8.88678 0.532195
21 48 0 9.30459 0.532037
22 48 0 9.72304 0.531887
23 48 0 10.1414 0.531743
24 48 0 10.5587 0.531606
25 48 0 10.9765 0.531474
26 48 0 11.3909 0.531348
27 48 0 11.8107 0.531227
28 48 0 12.231 0.53111
29 48 0 12.6492 0.530997
0 48 1 0.472536 0.529315
1 48 1 0.906328 0.528523
2 48 1 1.33285 0.528166
3 48 1 1.76706 0.528018
4 48 1 2.19064 0.527929
5 48 1 2.61512 0.527877
6 48 1 3.03776 0.527826
7 48 1 3.45952 0.527789
8 48 1 3.88206 0.527756
9 48 1 4.30521 0.527726
10 48 1 4.72477 0.527699
11 48 1 5.14644 0.527677
12 48 1 5.56775 0.527658
13 48 1 5.98721 0.527643
14 48 1 6.40694 0.527628
15 48 1 6.82125 0.527616
16 48 1 7.23664 0.527608
17 48 1 7.65247 0.527603
18 48 1 8.06934 0.527595
19 48 1 8.49228 0.527583
20 48 1 8.9112 0.52757
21 48 1 9.32903 0.527559
22 48 1 9.74714 0.52755
23 48 1 10.165 0.527544
24 48 1 10.5952 0.527538
25 48 1 11.0159 0.527531
26 48 1 11.4309 0.527523
27 48 1 11.8526 0.527515
28 48 1 12.271 0.52751
29 48 1 12.6892 0.527506
0 48 2 0.453338 0.542277
1 48 2 0.852528 0.530982
2 48 2 1.25879 0.528896
3 48 2 1.65738 0.528642
4 48 2 2.0579 0.529891
5 48 2 2.45859 0.529004
6 48 2 2.86132 0.526911
7 48 2 3.26441 0.525155
8 48 2 3.66567 0.523937
9 48 2 4.06638 0.523211
10 48 2 4.4638 0.52278
11 48 2 4.86284 0.522553
12 48 2 5.26536 0.522404
13 48 2 5.66827 0.522322
14 48 2 6.06787 0.52224
15 48 2 6.46488 0.522192
16 48 2 6.86414 0.522145
17 48 2 7.25954 0.522077
18 48 2 7.65838 0.521989
19 48 2 8.05538 0.521876
20 48 2 8.45431 0.521768
21 48 2 8.85176 0.521668
22 48 2 9.24853 0.521575
23 48 2 9.64382 0.521471
24 48 2 10.0434 0.521363
25 48 2 10.4402 0.521276
26 48 2 10.8376 0.521187
27 48 2 11.2747 0.521124
28 48 2 11.6732 0.521072
29 48 2 12.0733 0.521023
0 48 4 0.469066 0.525497
1 48 4 0.89012 0.52324
2 48 4 1.31344 0.522637
3 48 4 1.73579 0.522328
4 48 4 2.153 0.522121
5 48 4 2.57413 0.521944
6 48 4 2.99672 0.521752
7 48 4 3.41916 0.521513
8 48 4 3.84028 0.521238
9 48 4 4.26646 0.520933
10 48 4 4.68567 0.520533
11 48 4 5.10696 0.52001
12 48 4 5.52704 0.519714
13 48 4 5.94427 0.519557
14 48 4 6.36661 0.519456
15 48 4 6.78664 0.519384
16 48 4 7.20773 0.519329
17 48 4 7.63344 0.519283
18 48 4 8.05463 0.519245
19 48 4 8.4741 0.519211
20 48 4 8.89265 0.519182
21 48 4 9.31209 0.519156
22 48 4 9.73351 0.519131
23 48 4 10.1551 0.519108
24 48 4 10.5737 0.519087
25 48 4 10.9958 0.519067
26 48 4 11.4151 0.519048
27 48 4 11.8341 0.51903
28 48 4 12.255 0.519015
29 48 4 12.6704 0.519
0 48 5 0.497125 0.527941
1 48 5 0.945899 0.527332
2 48 5 1.39808 0.52705
3 48 5 1.8487 0.526813
4 48 5 2.29297 0.526621
5 48 5 2.7437 0.526469
6 48 5 3.19261 0.526345
7 48 5 3.64717 0.526038
8 48 5 4.30366 0.525986
9 48 5 4.75344 0.525798
10 48 5 5.40993 0.525754
11 48 5 5.86315 0.525603
12 48 5 6.53086 0.525574
13 48 5 6.9833 0.525464
14 48 5 7.63628 0.525443
15 48 5 8.09447 0.525356
16 48 5 8.75367 0.525334
17 48 5 9.21056 0.525222
18 48 5 9.86506 0.525175
19 48 5 10.3199 0.525056
20 48 5 10.9757 0.525035
21 48 5 11.4252 0.524981
22 48 5 12.0794 0.524968
23 48 5 12.5309 0.524924
24 48 5 13.1831 0.524914
25 48 5 13.6298 0.524876
26 48 5 14.299 0.524868
27 48 5 14.7509 0.524838
28 48 5 15.4095 0.524832
29 48 5 15.8595 0.52481
0 48 6 0.464382 0.527071
1 48 6 0.873507 0.523912
2 48 6 1.28742 0.52137
3 48 6 1.70297 0.519103
4 48 6 2.11775 0.518098
5 48 6 2.53017 0.517579
6 48 6 2.944 0.517432
7 48 6 3.35456 0.517442
8 48 6 3.76424 0.517441
9 48 6 4.17249 0.517063
10 48 6 4.58431 0.516742
11 48 6 4.99187 0.516661
12 48 6 5.40592 0.516598
13 48 6 5.81709 0.516594
14 48 6 6.23154 0.516475
15 48 6 6.64172 0.516198
16 48 6 7.05445 0.515911
17 48 6 7.46576 0.515778
18 48 6 7.87757 0.515679
19 48 6 8.28622 0.515612
20 48 6 8.69882 0.515554
21 48 6 9.1098 0.515507
22 48 6 9.52503 0.515469
23 48 6 9.93534 0.515438
24 48 6 10.348 0.515414
25 48 6 10.7585 0.515395
26 48 6 11.1682 0.515383
27 48 6 11.5771 0.515393
28 48 6 11.9874 0.515504
29 48 6 12.4018 0.515602
0 64 0 0.518307 0.537672
1 64 0 0.993945 0.537061
2 64 0 1.47216 0.53652
3 64 0 1.94969 0.536033
4 64 0 2.42461 0.535593
5 64 0 2.89963 0.535194
6 64 0 3.37593 0.534828
7 64 0 3.84931 0.534493
8 64 0 4.32234 0.534184
9 64 0 4.79548 0.533898
10 64 0 5.27232 0.533633
11 64 0 5.74403 0.533385
12 64 0 6.21642 0.533153
13 64 0 6.68729 0.532936
14 64 0 7.15828 0.532731
15 64 0 7.63003 0.532538
16 64 0 8.0992 0.532355
17 64 0 8.56887 0.532182
18 64 0 9.04359 0.532017
19 64 0 9.51539 0.53186
20 64 0 9.98824 0.53171
21 64 0 10.4608 0.531566
22 64 0 10.9341 0.531428
23 64 0 11.4057 0.531295
24 64 0 11.8758 0.531168
25 64 0 12.3445 0.531044
26 64 0 12.816 0.530925
27 64 0 13.2879 0.53081
28 64 0 13.7591 0.530698
29 64 0 14.231 0.530589
0 64 1 0.554103 0.529029
1 64 1 1.06411 0.528162
2 64 1 1.57883 0.527776
3 64 1 2.09355 0.527576
4 64 1 2.60596 0.527466
5 64 1 3.1124 0.527384
6 64 1 3.62487 0.527318
7 64 1 4.13576 0.527256
8 64 1 4.64891 0.527209
9 64 1 5.16112 0.527174
10 64 1 5.66869 0.527149
11 64 1 6.18508 0.527124
12 64 1 6.68985 0.527092
13 64 1 7.19972 0.527065
14 64 1 7.70602 0.527046
15 64 1 8.21516 0.527029
16 64 1 8.72295 0.527015
17 64 1 9.23088 0.527006
18 64 1 9.73641 0.526998
19 64 1 10.2402 0.526991
20 64 1 10.7448 0.526985
21 64 1 11.2502 0.526979
22 64 1 11.757 0.526975
23 64 1 12.2626 0.526972
24 64 1 12.7624 0.526969
25 64 1 13.2667 0.526966
26 64 1 13.7746 0.526963
27 64 1 14.281 0.526959
28 64 1 14.7839 0.526956
29 64 1 15.288 0.526952
0 64 2 0.573601 0.545635
1 64 2 1.09701 0.535431
2 64 2 1.62301 0.533399
3 64 2 2.14795 0.53168
4 64 2 2.6716 0.53023
5 64 2 3.20034 0.526659
6 64 2 3.7263 0.524699
7 64 2 4.24954 0.523599
8 64 2 4.77776 0.522908
9 64 2 5.3048 0.522473
10 64 2 5.83137 0.522179
11 64 2 6.35675 0.521986
12 64 2 6.88174 0.521869
13 64 2 7.40898 0.521748
14 64 2 7.93728 0.521662
15 64 2 8.46405 0.52156
16 64 2 8.99175 0.521484
17 64 2 9.51911 0.521391
18 64 2 10.0502 0.521262
19 64 2 10.5809 0.521094
20 64 2 11.1121 0.520925
21 64 2 11.6358 0.520755
22 64 2 12.1638 0.520601
23 64 2 12.6904 0.520482
24 64 2 13.2147 0.520371
25 64 2 13.741 0.520271
26 64 2 14.2659 0.520182
27 64 2 14.7918 0.520102
28 64 2 15.3141 0.520044
29 64 2 15.8377 0.519993
0 64 4 0.588868 0.524494
1 64 4 1.1318 0.521933
2 64 4 1.67925 0.521008
3 64 4 2.21845 0.520267
4 64 4 2.76362 0.519539
5 64 4 3.30737 0.518972
6 64 4 3.8508 0.518489
7 64 4 4.3966 0.518033
8 64 4 4.94365 0.517685
9 64 4 5.48552 0.517445
10 64 4 6.02236 0.51727
11 64 4 6.56137 0.517135
12 64 4 7.1021 0.517023
13 64 4 7.64782 0.516925
14 64 4 8.19144 0.516839
15 64 4 8.73284 0.516762
16 64 4 9.27685 0.516691
17 64 4 9.8199 0.516627
18 64 4 10.3644 0.516571
19 64 4 10.9052 0.516522
20 64 4 11.4473 0.516479
21 64 4 11.9863 0.516441
22 64 4 12.5263 0.516407
23 64 4 13.0652 0.516376
24 64 4 13.6041 0.516348
25 64 4 14.1411 0.516322
26 64 4 14.6787 0.516298
27 64 4 15.2174 0.516277
28 64 4 15.753 0.516258
29 64 4 16.3021 0.516241
0 64 5 0.551191 0.52779
1 64 5 1.05444 0.527134
2 64 5 1.55664 0.526838
3 64 5 2.05811 0.526603
4 64 5 2.56188 0.526422
5 64 5 3.06978 0.526278
6 64 5 3.5703 0.526156
7 64 5 4.08356 0.525836
8 64 5 4.82536 0.525774
9 64 5 5.34281 0.52555
10 64 5 6.07935 0.525495
11 64 5 6.58586 0.525319
12 64 5 7.32541 0.525286
13 64 5 7.83483 0.525159
14 64 5 8.57058 0.525121
15 64 5 9.08068 0.524944
16 64 5 9.81622 0.524894
17 64 5 10.3213 0.524789
18 64 5 11.0553 0.524775
19 64 5 11.5618 0.524726
20 64 5 12.298 0.52471
21 64 5 12.8153 0.524653
22 64 5 13.5569 0.524633
23 64 5 14.0653 0.524525
24 64 5 14.8021 0.524448
25 64 5 15.3125 0.524329
26 64 5 16.0546 0.524301
27 64 5 16.5599 0.524167
28 64 5 17.2969 0.524108
29 64 5 17.8012 0.524022
0 64 6 0.520045 0.527077
1 64 6 0.999627 0.522789
2 64 6 1.47782 0.519949
3 64 6 1.95466 0.517497
4 64 6 2.42743 0.51593
5 64 6 2.90231 0.515208
6 64 6 3.38033 0.514852
7 64 6 3.85527 0.51426
8 64 6 4.32437 0.514011
9 64 6 4.79536 0.513886
10 64 6 5.27017 0.513777
11 64 6 5.74575 0.513574
12 64 6 6.2213 0.513322
13 64 6 6.69487 0.513106
14 64 6 7.17038 0.512996
15 64 6 7.63946 0.512839
16 64 6 8.11298 0.51273
17 64 6 8.58444 0.512656
18 64 6 9.05476 0.512593
19 64 6 9.52736 0.512534
20 64 6 10.004 0.51249
21 64 6 10.473 0.512463
22 64 6 10.9442 0.512446
23 64 6 11.4192 0.51244
24 64 6 11.8908 0.512445
25 64 6 12.364 0.512473
26 64 6 12.8343 0.512567
27 64 6 13.3053 0.512664
28 64 6 13.7731 0.512635
29 64 6 14.28 0.512516
0 96 0 0.721221 0.535158
1 96 0 1.39976 0.534796
2 96 0 2.08018 0.534463
3 96 0 2.7622 0.534154
4 96 0 3.44138 0.533868
5 96 0 4.12021 0.533601
6 96 0 4.8003 0.533352
7 96 0 5.47829 0.533118
8 96 0 6.18411 0.532897
9 96 0 6.86388 0.532689
10 96 0 7.54227 0.532493
11 96 0 8.22318 0.532306
12 96 0 8.90232 0.532128
13 96 0 9.57977 0.531959
14 96 0 10.2562 0.531797
15 96 0 10.9327 0.531642
16 96 0 11.6084 0.531493
17 96 0 12.2876 0.53135
18 96 0 12.9653 0.531212
19 96 0 13.6441 0.531079
20 96 0 14.3189 0.53095
21 96 0 14.9975 0.530825
22 96 0 15.6749 0.530704
23 96 0 16.3523 0.530587
24 96 0 17.0267 0.530472
25 96 0 17.7039 0.53036
26 96 0 18.3796 0.530251
27 96 0 19.0541 0.530145
28 96 0 19.7329 0.530041
29 96 0 20.4102 0.529939
0 96 1 0.733699 0.529134
1 96 1 1.46196 0.52831
2 96 1 2.15422 0.528045
3 96 1 2.84559 0.527873
4 96 1 3.54592 0.527743
5 96 1 4.23692 0.527656
6 96 1 4.93059 0.527583
7 96 1 5.62264 0.527521
8 96 1 6.31459 0.527457
