runs	algo	iter	totaltime	err	relerr
4	BPP	8	126.52	41417.9	0.84095
4	BPP	9	142.35	41394.7	0.840479
4	BPP	10	158.17	41372.6	0.840029
4	BPP	11	173.97	41343.3	0.839435
4	BPP	12	189.79	41306.9	0.838696
4	BPP	13	205.67	41278.2	0.838114
4	BPP	14	221.48	41264.1	0.837826
4	BPP	15	237.38	41255.5	0.837651
4	BPP	16	253.19	41248.6	0.837512
4	BPP	17	269.02	41242.8	0.837394
4	BPP	18	284.85	41238	0.837297
4	BPP	19	300.66	41234.2	0.837219
4	BPP	20	316.49	41231	0.837155
4	BPP	21	332.31	41228.4	0.837101
4	BPP	22	348.13	41226	0.837054
4	BPP	23	363.94	41224	0.837012
4	BPP	24	379.75	41222.2	0.836977
4	BPP	25	395.55	41220.7	0.836946
4	BPP	26	411.37	41219.4	0.836919
4	BPP	27	427.19	41218.1	0.836893
4	BPP	28	443.01	41216.9	0.836869
4	BPP	29	458.81	41215.8	0.836845
5	MU	1	11.58	48207.2	0.9788
5	MU	2	23.14	47904.3	0.972649
5	MU	3	34.72	47655.1	0.96759
5	MU	4	46.29	47164	0.957618
5	MU	5	57.96	46381.6	0.941733
5	MU	6	69.52	45661.6	0.927114
5	MU	7	81.09	45105	0.915812
5	MU	8	92.67	44626.5	0.906097
5	MU	9	104.24	44193.7	0.89731
5	MU	10	115.82	43783.5	0.888981
5	MU	11	127.39	43419.8	0.881595
5	MU	12	138.97	43113.3	0.875373
5	MU	13	150.58	42860.1	0.870233
5	MU	14	162.18	42643.9	0.865841
5	MU	15	173.82	42459.2	0.862093
5	MU	16	185.46	42309.9	0.859061
5	MU	17	197.12	42197.5	0.856779
5	MU	18	208.84	42114.3	0.85509
5	MU	19	220.6	42049.5	0.853774
5	MU	20	232.4	41995.9	0.852685
5	MU	21	244.24	41949.7	0.851747
5	MU	22	256.16	41909.6	0.850933
5	MU	23	268.14	41875.3	0.850237
5	MU	24	280.18	41846	0.849642
5	MU	25	292.41	41820.7	0.849128
5	MU	26	304.64	41798.4	0.848675
5	MU	27	316.92	41778.3	0.848267
5	MU	28	329.28	41760.2	0.847899
5	MU	29	341.73	41743.4	0.847559
#5	HALS	1	12.34	2.33E+06	47.2734
5	HALS	2	24.52	47774	0.970003
5	HALS	3	36.65	47379	0.961983
5	HALS	4	48.9	46669.1	0.947569
5	HALS	5	61.17	44711.3	0.90782
5	HALS	6	73.42	43679.5	0.886869
5	HALS	7	85.66	42862	0.870271
5	HALS	8	97.88	42375.5	0.860393
5	HALS	9	110.08	42064.6	0.85408
5	HALS	10	122.26	41815.7	0.849027
5	HALS	11	134.44	41657	0.845804
5	HALS	12	146.63	41524.5	0.843113
5	HALS	13	158.82	41450.3	0.841607
5	HALS	14	171.01	41408	0.840748
5	HALS	15	183.39	41378.7	0.840153
5	HALS	16	196.19	41357.9	0.839732
5	HALS	17	208.39	41341.7	0.839402
5	HALS	18	220.58	41325.6	0.839076
5	HALS	19	232.78	41304.6	0.838649
5	HALS	20	244.96	41275.1	0.83805
5	HALS	21	257.16	41247	0.837479
5	HALS	22	269.36	41231.8	0.83717
5	HALS	23	281.56	41223.4	0.837
5	HALS	24	293.73	41217.5	0.836879
5	HALS	25	305.91	41212.7	0.836783
5	HALS	26	318.11	41208.8	0.836703
5	HALS	27	330.31	41205.3	0.836632
5	HALS	28	342.5	41201.9	0.836563
5	HALS	29	354.68	41198.3	0.836491
5	BPP	1	15.81	45982.5	0.933629
5	BPP	2	31.61	43819.6	0.889713
5	BPP	3	47.44	42886.3	0.870763
5	BPP	4	63.3	42404.5	0.860982
5	BPP	5	79.09	42095.3	0.854703
5	BPP	6	94.87	41779.4	0.848289
5	BPP	7	110.72	41580.9	0.84426
5	BPP	8	126.58	41476.9	0.842147
5	BPP	9	142.38	41432	0.841236
5	BPP	10	158.21	41414.3	0.840876
5	BPP	11	174.01	41404.6	0.840679
5	BPP	12	189.79	41397.4	0.840533
5	BPP	13	205.61	41391.1	0.840406
5	BPP	14	221.42	41384.8	0.840277
5	BPP	15	237.23	41377.6	0.840131
5	BPP	16	253.03	41369	0.839957
5	BPP	17	268.85	41358.8	0.83975
