iter k algo time relerr
1 48 4 2.97038 0.0868112
2 48 4 4.4277 0.0764242
3 48 4 5.88807 0.0727574
4 48 4 7.3489 0.0706398
5 48 4 8.80298 0.0688101
6 48 4 10.2569 0.0667983
7 48 4 11.7087 0.064519
8 48 4 13.1717 0.0621105
9 48 4 14.6203 0.0594677
10 48 4 16.0752 0.0564739
11 48 4 17.5231 0.0531573
12 48 4 18.9841 0.0496064
13 48 4 20.438 0.0458625
14 48 4 21.8864 0.0419485
15 48 4 23.3368 0.0380647
16 48 4 24.7883 0.0345878
17 48 4 26.2399 0.0317786
18 48 4 27.6924 0.0295695
19 48 4 29.1415 0.0276906
20 48 4 30.5893 0.0258985
21 48 4 32.0401 0.0241161
22 48 4 33.4952 0.0224718
23 48 4 34.9506 0.0211405
24 48 4 36.4066 0.020178
25 48 4 37.8564 0.0195109
26 48 4 39.3076 0.0190159
27 48 4 40.7604 0.0186037
28 48 4 42.2148 0.0181999
29 48 4 43.6698 0.017774
0 48 5 1.51389 0.128351
1 48 5 2.97821 0.126428
2 48 5 4.45008 0.101998
3 48 5 5.9067 0.0889109
4 48 5 7.36567 0.084642
5 48 5 8.83644 0.0830306
6 48 5 10.2966 0.0824631
7 48 5 12.5026 0.0817432
8 48 5 14.6895 0.0814777
9 48 5 16.8832 0.081108
10 48 5 18.3417 0.0898433
11 48 5 20.5203 0.0898433
12 48 5 22.7066 0.0898433
13 48 5 24.8908 0.0898433
14 48 5 27.0823 0.0898433
15 48 5 29.2653 0.0898433
16 48 5 31.4512 0.0898433
17 48 5 33.6313 0.0898433
18 48 5 35.82 0.0898433
19 48 5 37.9939 0.0898433
20 48 5 40.1767 0.0898433
21 48 5 42.3588 0.0898433
22 48 5 44.5411 0.0898433
23 48 5 46.7184 0.0898433
24 48 5 48.9085 0.0898433
25 48 5 51.097 0.0898433
26 48 5 53.284 0.0898433
27 48 5 55.46 0.0898433
28 48 5 57.6424 0.0898433
29 48 5 59.8192 0.0898433
0 48 6 1.49541 0.120781
1 48 6 2.9505 0.111819
2 48 6 4.4033 0.106481
3 48 6 5.85145 0.102585
4 48 6 7.29814 0.0990133
5 48 6 8.74603 0.0955413
6 48 6 10.1962 0.0920302
7 48 6 11.6441 0.0892662
8 48 6 13.0886 0.0874189
9 48 6 14.5476 0.0860179
10 48 6 15.9928 0.084772
11 48 6 17.4323 0.0835628
12 48 6 18.8731 0.0825901
13 48 6 20.3154 0.0817894
14 48 6 21.7585 0.0811457
15 48 6 23.1999 0.0805906
16 48 6 24.6418 0.0802846
17 48 6 26.0881 0.0800733
18 48 6 27.5401 0.0796647
19 48 6 28.9852 0.0789524
20 48 6 30.4328 0.0783062
21 48 6 31.8818 0.0779476
22 48 6 33.3285 0.0778689
23 48 6 34.7763 0.0778568
24 48 6 36.2153 0.0778549
25 48 6 37.657 0.0778546
26 48 6 39.0985 0.0778545
27 48 6 40.5397 0.0778545
28 48 6 41.9858 0.0778545
29 48 6 43.426 0.0778545
0 64 0 1.51128 0.15628
1 64 0 2.9739 0.15384
2 64 0 4.42929 0.151624
3 64 0 5.88935 0.149596
4 64 0 7.34798 0.147733
5 64 0 8.80557 0.146015
6 64 0 10.2583 0.144425
7 64 0 11.7194 0.142949
8 64 0 13.1722 0.141574
9 64 0 14.6306 0.140291
10 64 0 16.0863 0.139089
11 64 0 17.5497 0.137962
12 64 0 19.0147 0.136901
13 64 0 20.4797 0.135902
14 64 0 21.9401 0.134958
15 64 0 23.4043 0.134065
16 64 0 24.8621 0.133218
17 64 0 26.3258 0.132414
18 64 0 27.7887 0.131649
19 64 0 29.2704 0.130921
20 64 0 30.7324 0.130225
21 64 0 32.1934 0.129561
22 64 0 33.6521 0.128926
23 64 0 35.1116 0.128317
24 64 0 36.5754 0.127733
25 64 0 38.0412 0.127171
26 64 0 39.5029 0.126632
27 64 0 40.9558 0.126112
28 64 0 42.4123 0.125611
29 64 0 43.8717 0.125128
0 64 1 1.51733 0.185508
1 64 1 2.99649 0.138465
2 64 1 4.47458 0.112975
3 64 1 5.94308 0.101326
4 64 1 7.42157 0.0945595
5 64 1 8.88774 0.0900929
6 64 1 10.3534 0.0867813
7 64 1 11.825 0.0842355
8 64 1 13.2954 0.0822646
9 64 1 14.7647 0.0806581
10 64 1 16.2383 0.0792948
11 64 1 17.7018 0.0781078
12 64 1 19.173 0.0770645
13 64 1 20.6385 0.0761404
14 64 1 22.1087 0.0753079
15 64 1 23.5769 0.0745489
16 64 1 25.0396 0.0738514
17 64 1 26.5027 0.0732023
18 64 1 27.9698 0.072592
19 64 1 29.4336 0.0720127
20 64 1 30.9 0.0714583
21 64 1 32.3714 0.0709259
22 64 1 33.8502 0.070415
23 64 1 35.3206 0.0699196
24 64 1 36.7873 0.0694348
25 64 1 38.2533 0.0689541
26 64 1 39.7198 0.0684719
27 64 1 41.1933 0.0679846
28 64 1 42.6627 0.0674887
29 64 1 44.1302 0.0669789
0 64 2 1.5126 0.206518
1 64 2 2.9835 0.0800621
2 64 2 4.44277 0.064825
3 64 2 5.89953 0.0612441
4 64 2 7.35502 0.0595338
5 64 2 8.81756 0.0579573
6 64 2 10.2739 0.0561853
7 64 2 11.7294 0.0540667
8 64 2 13.196 0.0514318
9 64 2 14.6573 0.0481544
10 64 2 16.1206 0.0442666
11 64 2 17.5826 0.0400572
12 64 2 19.0492 0.0358931
13 64 2 20.5084 0.0319643
14 64 2 21.974 0.0282747
15 64 2 23.4338 0.0248596
16 64 2 24.896 0.0218598
17 64 2 26.3557 0.019378
18 64 2 27.8185 0.0173367
19 64 2 29.2805 0.0155655
20 64 2 30.7416 0.0139058
21 64 2 32.2038 0.0122655
22 64 2 33.6673 0.0105789
23 64 2 35.1311 0.00869843
24 64 2 36.5954 0.00662988
25 64 2 38.0645 0.00476059
26 64 2 39.5291 0.00344081
27 64 2 40.9875 0.00265899
28 64 2 42.4585 0.00223047
29 64 2 43.9194 0.00198673
0 64 4 1.52338 0.100433
1 64 4 2.9974 0.074312
2 64 4 4.46902 0.0663709
3 64 4 5.94362 0.0632393
4 64 4 7.42063 0.0614547
5 64 4 8.89366 0.0600564
6 64 4 10.3709 0.0587293
7 64 4 11.8466 0.0573378
