iter	k	algo	totaltime	relerr	gpu
23	32	0	1.21343	0.921731	0
24	32	0	1.26317	0.921702	0
25	32	0	1.31131	0.921673	0
26	32	0	1.36031	0.921645	0
27	32	0	1.40998	0.921618	0
28	32	0	1.45939	0.921591	0
29	32	0	1.50821	0.921565	0
0	32	1	0.121149	0.926205	1
1	32	1	0.230379	0.923339	1
2	32	1	0.334888	0.922176	1
3	32	1	0.444225	0.921783	1
4	32	1	0.568547	0.921551	1
5	32	1	0.693406	0.921397	1
6	32	1	0.801743	0.921288	1
7	32	1	0.918684	0.921219	1
8	32	1	1.03158	0.921162	1
9	32	1	1.1391	0.921119	1
10	32	1	1.25177	0.921084	1
11	32	1	1.36112	0.921052	1
12	32	1	1.47446	0.921025	1
13	32	1	1.58371	0.921007	1
14	32	1	1.69671	0.920993	1
15	32	1	1.81065	0.920979	1
16	32	1	1.91588	0.920968	1
17	32	1	2.02577	0.920958	1
18	32	1	2.13291	0.920949	1
19	32	1	2.2397	0.92094	1
20	32	1	2.35189	0.920931	1
21	32	1	2.46053	0.920924	1
22	32	1	2.56668	0.920917	1
23	32	1	2.67694	0.920909	1
24	32	1	2.78594	0.920902	1
25	32	1	2.8974	0.920897	1
26	32	1	3.00812	0.920892	1
27	32	1	3.11492	0.920888	1
28	32	1	3.22512	0.920884	1
29	32	1	3.33663	0.92088	1
0	32	1	0.0738152	0.926205	0
1	32	1	0.132986	0.923339	0
2	32	1	0.187612	0.922176	0
3	32	1	0.244368	0.921783	0
4	32	1	0.296963	0.921551	0
5	32	1	0.350796	0.921397	0
6	32	1	0.405476	0.921288	0
7	32	1	0.460279	0.921219	0
8	32	1	0.515133	0.921162	0
9	32	1	0.56998	0.921119	0
10	32	1	0.623679	0.921084	0
11	32	1	0.677902	0.921052	0
12	32	1	0.731783	0.921025	0
13	32	1	0.786456	0.921007	0
14	32	1	0.840336	0.920993	0
15	32	1	0.893656	0.920979	0
16	32	1	0.947081	0.920968	0
17	32	1	1.00732	0.920958	0
18	32	1	1.0664	0.920949	0
19	32	1	1.11953	0.92094	0
20	32	1	1.17329	0.920931	0
21	32	1	1.2294	0.920924	0
22	32	1	1.28573	0.920917	0
23	32	1	1.33824	0.920909	0
24	32	1	1.39293	0.920902	0
25	32	1	1.44697	0.920897	0
26	32	1	1.50391	0.920892	0
27	32	1	1.56243	0.920888	0
28	32	1	1.61517	0.920884	0
29	32	1	1.66917	0.92088	0
0	32	2	0.139097	0.921486	1
1	32	2	0.24958	0.920428	1
2	32	2	0.352578	0.920264	1
3	32	2	0.457655	0.920189	1
4	32	2	0.560247	0.920122	1
5	32	2	0.664771	0.920059	1
6	32	2	0.767074	0.919997	1
7	32	2	0.875703	0.919939	1
8	32	2	0.981961	0.91989	1
9	32	2	1.0878	0.919848	1
10	32	2	1.18863	0.919813	1
11	32	2	1.29417	0.91978	1
12	32	2	1.40018	0.919749	1
13	32	2	1.50041	0.919722	1
14	32	2	1.60307	0.919702	1
15	32	2	1.70768	0.919692	1
16	32	2	1.81426	0.919687	1
17	32	2	1.9168	0.919684	1
18	32	2	2.0227	0.919683	1
19	32	2	2.12655	0.919683	1
20	32	2	2.23062	0.919683	1
21	32	2	2.3334	0.919683	1
22	32	2	2.44669	0.919683	1
23	32	2	2.55139	0.919682	1
24	32	2	2.6561	0.919682	1
25	32	2	2.75621	0.919682	1
26	32	2	2.86072	0.919682	1
27	32	2	2.96298	0.919682	1
28	32	2	3.06389	0.919682	1
29	32	2	3.16932	0.919682	1
0	32	2	0.0554655	0.921486	0
1	32	2	0.105644	0.920428	0
2	32	2	0.155369	0.920264	0
3	32	2	0.20557	0.920189	0
4	32	2	0.255285	0.920122	0
5	32	2	0.306105	0.920059	0
6	32	2	0.3571	0.919997	0
7	32	2	0.408646	0.919939	0
8	32	2	0.460479	0.91989	0
9	32	2	0.509805	0.919848	0
10	32	2	0.561014	0.919813	0
11	32	2	0.610603	0.91978	0
12	32	2	0.660577	0.919749	0
13	32	2	0.7121	0.919722	0
14	32	2	0.761898	0.919702	0
15	32	2	0.811221	0.919692	0
16	32	2	0.860985	0.919687	0
17	32	2	0.910663	0.919684	0
18	32	2	0.960415	0.919683	0
19	32	2	1.01014	0.919683	0
20	32	2	1.06035	0.919683	0
21	32	2	1.11037	0.919683	0
22	32	2	1.16081	0.919683	0
23	32	2	1.21137	0.919682	0
24	32	2	1.26184	0.919682	0
25	32	2	1.31184	0.919682	0
26	32	2	1.36072	0.919682	0
27	32	2	1.41117	0.919682	0
28	32	2	1.46276	0.919682	0
29	32	2	1.51486	0.919682	0
0	32	4	0.12595	0.921333	1
1	32	4	0.240248	0.92076	1
2	32	4	0.354302	0.920607	1
3	32	4	0.465515	0.920571	1
4	32	4	0.583318	0.920563	1
5	32	4	0.700166	0.920573	1
6	32	4	0.816777	0.920561	1
7	32	4	0.933304	0.920552	1
8	32	4	1.04674	0.920569	1
9	32	4	1.1601	0.920521	1
10	32	4	1.27366	0.920518	1
11	32	4	1.38466	0.920512	1
12	32	4	1.49837	0.920532	1
13	32	4	1.61423	0.9205	1
14	32	4	1.72569	0.920548	1
15	32	4	1.83826	0.921152	1
16	32	4	1.9494	0.921593	1
17	32	4	2.0622	0.921606	1
18	32	4	2.17651	0.921605	1
19	32	4	2.2912	0.921615	1
20	32	4	2.40251	0.921695	1
21	32	4	2.52838	0.92165	1
22	32	4	2.64356	0.921678	1
23	32	4	2.75341	0.921699	1
24	32	4	2.86535	0.921737	1
25	32	4	2.98042	0.921791	1
26	32	4	3.10335	0.921825	1
27	32	4	3.21545	0.921895	1
28	32	4	3.3316	0.92193	1
29	32	4	3.44247	0.921962	1
0	32	4	0.0640332	0.921333	0
1	32	4	0.120792	0.92076	0
2	32	4	0.180233	0.920607	0
3	32	4	0.23805	0.92057	0
4	32	4	0.294985	0.920562	0
5	32	4	0.353382	0.920586	0
6	32	4	0.410366	0.920558	0
7	32	4	0.467621	0.920551	0
8	32	4	0.525469	0.920542	0
9	32	4	0.58341	0.920515	0
10	32	4	0.640701	0.92051	0
11	32	4	0.696887	0.920502	0
12	32	4	0.753724	0.920514	0
13	32	4	0.809622	0.920534	0
14	32	4	0.866188	0.920495	0
15	32	4	0.921546	0.920636	0
16	32	4	0.976957	0.921113	0
17	32	4	1.03302	0.921567	0
18	32	4	1.08818	0.921583	0
19	32	4	1.14375	0.921568	0
20	32	4	1.20954	0.921579	0
21	32	4	1.27691	0.921595	0
22	32	4	1.33257	0.921612	0
23	32	4	1.39519	0.921626	0
