iter k algo time relerr
0 48 0 5.91066 0.179327
1 48 0 11.8155 0.175833
2 48 0 17.7201 0.172734
3 48 0 23.6247 0.169963
4 48 0 29.53 0.16747
5 48 0 35.4559 0.165214
6 48 0 41.3622 0.163163
7 48 0 47.2688 0.161288
8 48 0 53.1928 0.159567
9 48 0 59.0977 0.157982
10 48 0 65.0021 0.156516
11 48 0 70.9091 0.155157
12 48 0 76.8164 0.153891
13 48 0 82.7212 0.15271
14 48 0 88.6252 0.151604
15 48 0 94.5282 0.150567
16 48 0 100.431 0.149591
17 48 0 106.336 0.14867
18 48 0 112.241 0.147801
19 48 0 118.144 0.146977
20 48 0 124.05 0.146195
21 48 0 129.955 0.145451
22 48 0 135.861 0.144743
23 48 0 141.767 0.144067
24 48 0 147.669 0.14342
25 48 0 153.571 0.142801
26 48 0 159.476 0.142206
27 48 0 165.378 0.141635
28 48 0 171.282 0.141085
29 48 0 177.183 0.140555
0 48 1 5.91119 0.212907
1 48 1 11.8148 0.164371
2 48 1 17.7176 0.133408
3 48 1 23.6258 0.118917
4 48 1 29.5323 0.110603
5 48 1 35.4382 0.104757
6 48 1 41.3501 0.100456
7 48 1 47.2565 0.097293
8 48 1 53.1648 0.0948565
9 48 1 59.0742 0.0928374
10 48 1 64.9862 0.0910213
11 48 1 70.9089 0.0893794
12 48 1 76.813 0.0879185
13 48 1 82.7171 0.0866148
14 48 1 88.6221 0.0854362
15 48 1 94.7588 0.0843611
16 48 1 100.666 0.0833601
17 48 1 106.572 0.0824047
18 48 1 112.497 0.0814733
19 48 1 118.408 0.0805801
20 48 1 124.312 0.0797335
21 48 1 130.222 0.078928
22 48 1 136.126 0.0781498
23 48 1 142.034 0.0773837
24 48 1 147.939 0.0766179
25 48 1 153.843 0.0758449
26 48 1 159.751 0.075058
27 48 1 165.659 0.074253
28 48 1 171.565 0.0734294
29 48 1 177.471 0.0725874
0 48 2 5.90734 0.278665
1 48 2 11.8101 0.0981457
2 48 2 17.7121 0.0754934
3 48 2 23.6124 0.0702809
4 48 2 29.5134 0.0680072
5 48 2 35.4128 0.065886
6 48 2 41.3178 0.0633146
7 48 2 47.2164 0.0600342
8 48 2 53.1207 0.0559367
9 48 2 59.0222 0.051328
10 48 2 64.9277 0.0467379
11 48 2 70.8333 0.0423438
12 48 2 76.741 0.0380404
13 48 2 82.647 0.0337071
14 48 2 88.5508 0.0292913
15 48 2 94.4576 0.0250976
16 48 2 100.362 0.0218101
17 48 2 106.267 0.0194816
18 48 2 112.172 0.0174277
19 48 2 118.076 0.0151575
20 48 2 123.981 0.0127498
21 48 2 129.889 0.0101917
22 48 2 135.793 0.00750115
23 48 2 141.704 0.00522222
24 48 2 147.609 0.00372414
25 48 2 153.512 0.00288571
26 48 2 159.418 0.00243447
27 48 2 165.323 0.00216808
28 48 2 171.226 0.00198302
29 48 2 177.129 0.00183528
0 48 4 5.92446 0.118519
1 48 4 11.8474 0.0868112
2 48 4 17.7683 0.0764242
3 48 4 23.69 0.0727574
4 48 4 29.6145 0.0706398
5 48 4 35.54 0.0688101
6 48 4 41.4621 0.0667983
7 48 4 47.3839 0.064519
8 48 4 53.3049 0.0621105
9 48 4 59.2244 0.0594677
10 48 4 65.6011 0.0564739
11 48 4 71.5267 0.0531573
12 48 4 77.4505 0.0496064
13 48 4 83.3708 0.0458625
14 48 4 89.291 0.0419485
15 48 4 95.2076 0.0380647
16 48 4 101.126 0.0345878
17 48 4 107.042 0.0317786
18 48 4 112.959 0.0295695
19 48 4 118.883 0.0276906
20 48 4 124.807 0.0258985
21 48 4 130.732 0.0241161
22 48 4 136.646 0.0224718
23 48 4 142.564 0.0211405
24 48 4 148.482 0.020178
25 48 4 154.397 0.0195109
26 48 4 160.311 0.0190159
27 48 4 166.279 0.0186037
28 48 4 172.296 0.0181999
29 48 4 178.21 0.017774
0 48 5 6.0067 0.128351
1 48 5 11.9506 0.126428
2 48 5 17.866 0.101998
3 48 5 23.7751 0.0889109
4 48 5 29.6845 0.084642
5 48 5 35.5975 0.0830306
6 48 5 41.5461 0.0824631
7 48 5 50.4586 0.0817432
8 48 5 59.3482 0.0814777
9 48 5 68.202 0.081108
10 48 5 74.1124 0.0898433
11 48 5 82.962 0.0898433
12 48 5 91.8102 0.0898433
13 48 5 100.755 0.0898433
14 48 5 109.609 0.0898433
15 48 5 118.457 0.0898433
16 48 5 127.304 0.0898433
17 48 5 136.236 0.0898433
18 48 5 145.198 0.0898433
19 48 5 154.048 0.0898433
20 48 5 162.98 0.0898433
21 48 5 171.851 0.0898433
22 48 5 180.703 0.0898433
23 48 5 189.686 0.0898433
24 48 5 198.554 0.0898433
25 48 5 207.408 0.0898433
26 48 5 216.268 0.0898433
27 48 5 225.206 0.0898433
28 48 5 234.054 0.0898433
29 48 5 242.981 0.0898433
0 48 6 5.93336 0.120781
1 48 6 11.8639 0.111819
2 48 6 17.7695 0.106481
3 48 6 23.6674 0.102585
4 48 6 29.5729 0.0990133
5 48 6 35.4895 0.0955413
6 48 6 41.4252 0.0920302
7 48 6 47.407 0.0892662
8 48 6 53.34 0.0874189
9 48 6 59.2386 0.0860179
10 48 6 65.1363 0.084772
11 48 6 71.0342 0.0835628
12 48 6 76.9322 0.0825901
13 48 6 82.8937 0.0817894
14 48 6 88.796 0.0811457
15 48 6 94.6927 0.0805906
16 48 6 100.592 0.0802846
17 48 6 106.534 0.0800733
18 48 6 112.432 0.0796647
19 48 6 118.341 0.0789524
20 48 6 124.289 0.0783062
21 48 6 130.187 0.0779476
22 48 6 136.084 0.0778689
23 48 6 142.026 0.0778568
24 48 6 147.929 0.0778549
25 48 6 153.858 0.0778546
26 48 6 159.754 0.0778545
27 48 6 165.696 0.0778545
28 48 6 171.595 0.0778545
29 48 6 177.524 0.0778545
0 64 0 7.48885 0.15628
1 64 0 14.9088 0.15384
2 64 0 22.3203 0.151624
3 64 0 29.7045 0.149596
4 64 0 37.0971 0.147733
5 64 0 44.4753 0.146015
6 64 0 51.9007 0.144425
7 64 0 59.3095 0.142949
8 64 0 66.7155 0.141574
9 64 0 74.0928 0.140291
10 64 0 81.4598 0.139089
11 64 0 88.9835 0.137962
12 64 0 96.3782 0.136901
13 64 0 103.744 0.135902
14 64 0 111.128 0.134958
15 64 0 118.491 0.134065
16 64 0 125.858 0.133218
17 64 0 133.246 0.132414
18 64 0 140.65 0.131649
19 64 0 148.042 0.130921
20 64 0 155.403 0.130225
21 64 0 162.779 0.129561
22 64 0 170.171 0.128926
23 64 0 177.616 0.128317
24 64 0 185.039 0.127733
25 64 0 192.411 0.127171
26 64 0 199.801 0.126632
27 64 0 207.168 0.126112
28 64 0 214.571 0.125611
29 64 0 221.969 0.125128
0 64 1 7.37678 0.185508
1 64 1 14.7498 0.138465
2 64 1 22.2348 0.112975
3 64 1 29.6131 0.101326
4 64 1 37.0418 0.0945595
5 64 1 44.5151 0.0900929
6 64 1 51.8937 0.0867813
7 64 1 59.2699 0.0842355
8 64 1 66.6481 0.0822646
9 64 1 74.0177 0.0806581
10 64 1 81.4306 0.0792948
11 64 1 88.9003 0.0781078
12 64 1 96.3933 0.0770645
13 64 1 103.899 0.0761404
14 64 1 111.363 0.0753079
15 64 1 118.825 0.0745489
16 64 1 126.345 0.0738514
17 64 1 133.769 0.0732023
18 64 1 141.228 0.072592
19 64 1 148.608 0.0720127
20 64 1 156.026 0.0714583
21 64 1 163.515 0.0709259
22 64 1 170.987 0.070415
23 64 1 178.529 0.0699196
24 64 1 185.905 0.0694348
25 64 1 193.352 0.0689541
26 64 1 200.733 0.0684719
27 64 1 208.107 0.0679846
28 64 1 215.478 0.0674887
29 64 1 222.85 0.0669789
0 64 2 7.36781 0.206518
1 64 2 14.7369 0.0800621
2 64 2 22.1044 0.064825
3 64 2 29.4699 0.0612441
4 64 2 36.8365 0.0595338
5 64 2 44.2009 0.0579573
6 64 2 51.565 0.0561853
7 64 2 58.9248 0.0540667
8 64 2 66.2886 0.0514318
9 64 2 73.6586 0.0481544
10 64 2 81.0247 0.0442666
11 64 2 88.3903 0.0400572
12 64 2 95.7559 0.0358931
13 64 2 103.127 0.0319643
14 64 2 110.495 0.0282747
15 64 2 117.861 0.0248596
16 64 2 125.228 0.0218598
17 64 2 132.595 0.019378
18 64 2 139.962 0.0173367
19 64 2 147.335 0.0155655
20 64 2 154.71 0.0139058
21 64 2 162.076 0.0122655
22 64 2 169.441 0.0105789
23 64 2 176.808 0.00869843
